ts_start,ts_end,session_id,block_idx,duration_sec,difficulty_avg,speed_scale_avg,meteors_spawned,meteors_avoided,hits,near_misses,movement_px,success_rate
2025-10-03T00:02:49.599917Z,2025-10-03T00:03:41.180064Z,20251003-000249-a38436,0,51.58,1.214,0.984,82,61,3,0,4875,0.744
2025-10-23T15:30:47.652711Z,2025-10-23T15:31:14.907912Z,20251023-153047-80c3d3,0,27.26,0.921,0.970,27,14,3,0,0,0.519
2025-10-23T15:30:47.652784Z,2025-10-23T15:31:47.938596Z,20251023-153047-5c34a1,0,60.29,1.484,0.974,126,94,3,0,7905,0.746
2025-10-23T15:34:00.984612Z,2025-10-23T15:34:44.770336Z,20251023-153400-779900,0,43.79,1.426,0.981,85,60,3,0,6250,0.706
2025-10-23T15:37:28.526178Z,2025-10-23T15:38:24.972824Z,20251023-153728-7633a9,0,56.45,1.400,0.985,104,81,3,0,6470,0.779
2025-10-23T15:38:26.684353Z,2025-10-23T15:39:26.688313Z,20251023-153826-175a03,0,60.00,1.506,0.987,130,99,2,0,5950,0.762
2025-10-23T15:39:26.688313Z,2025-10-23T15:39:38.765393Z,20251023-153826-175a03,1,12.08,1.698,0.999,27,29,1,0,915,1.074
2025-10-23T16:30:15.985084Z,2025-10-23T16:31:00.071334Z,20251023-163015-3402a8,0,44.09,1.140,0.981,66,43,3,0,5105,0.652
2025-10-23T16:32:29.059438Z,2025-10-23T16:33:16.788540Z,20251023-163229-84efc7,0,47.73,1.448,0.983,95,70,3,0,4705,0.737
2025-10-23T16:55:11.592890Z,2025-10-23T16:56:00.803286Z,20251023-165511-e28c4c,0,49.21,1.499,0.983,101,79,3,0,6260,0.782
2025-10-23T16:57:48.611142Z,2025-10-23T16:58:48.622565Z,20251023-165748-55d5b6,0,60.01,1.853,0.993,195,159,1,0,7950,0.815
2025-10-23T16:58:48.622565Z,2025-10-23T16:59:01.548011Z,20251023-165748-55d5b6,1,12.93,1.632,0.968,28,21,2,0,1840,0.750
2025-10-23T17:02:58.564620Z,2025-10-23T17:03:16.836178Z,20251023-170258-0da579,0,18.27,0.780,0.955,16,2,3,0,3355,0.125
2025-10-23T17:04:20.084863Z,2025-10-23T17:05:04.727832Z,20251023-170420-ed8050,0,44.64,1.163,0.982,63,43,3,0,3225,0.683
2025-10-23T17:24:12.646609Z,2025-10-23T17:25:11.572405Z,20251023-172412-1146b0,0,58.93,1.215,0.986,91,71,3,0,5575,0.780
2025-10-24T00:12:35.397085Z,2025-10-24T00:13:15.566727Z,20251024-001235-58dd6d,0,40.17,1.202,0.980,61,37,3,0,4295,0.607
